fdcId,name,dravyaId,rule,key,contested,losers
21,"Soy milk, sweetened",dravya.soy-milk,M1,soy milk,0,
22,"Soy milk, unsweetened",dravya.soy-milk,M1,soy milk,0,
23,"Soy milk, chocolate",dravya.soy-milk,M1,soy milk,0,
24,"Almond milk, sweetened",dravya.almond-milk,M1,almond milk,1,dravya.badam-milk
25,"Almond milk, chocolate",dravya.almond-milk,M1,almond milk,1,dravya.badam-milk
26,"Almond milk, unsweetened",dravya.almond-milk,M1,almond milk,1,dravya.badam-milk
283,"Cottage cheese, farmer's",dravya.cottage-cheese,M1,cottage cheese,0,
394,"Pork, ground",dravya.pork,M1,pork,0,
395,"Pork, carnitas",dravya.pork,M1,pork,0,
397,"Pork, chop, NS as to fat eaten",dravya.pork,M1,pork,0,
398,"Pork, chop, lean and fat eaten",dravya.pork,M1,pork,0,
399,"Pork, chop, lean only eaten",dravya.pork,M1,pork,0,
400,"Pork, chop, coated, NS as to fat eaten",dravya.pork,M1,pork,0,
401,"Pork, chop, coated, lean and fat eaten",dravya.pork,M1,pork,0,
402,"Pork, chop, coated, lean only eaten",dravya.pork,M1,pork,0,
404,"Pork, steak, NS as to fat eaten",dravya.pork,M1,pork,0,
405,"Pork, steak, lean and fat eaten",dravya.pork,M1,pork,0,
406,"Pork, steak, lean only eaten",dravya.pork,M1,pork,0,
407,"Pork, steak, coated",dravya.pork,M1,pork,0,
408,"Pork, tenderloin",dravya.pork,M1,pork,0,
413,"Pork, roast",dravya.pork,M1,pork,0,
414,"Pork, roll",dravya.pork,M1,pork,0,
425,"Pork, ribs",dravya.pork,M1,pork,0,
426,"Pork, cracklings",dravya.pork,M1,pork,0,
427,"Pork, ears",dravya.pork,M1,pork,0,
428,"Pork, bones",dravya.pork,M1,pork,0,
429,"Pork, pig's feet",dravya.pork,M1,pork,0,
430,"Pork, pig's feet, pickled",dravya.pork,M1,pork,0,
431,"Pork, ham hocks",dravya.pork,M1,pork,0,
432,"Pork, belly",dravya.pork,M1,pork,0,
436,"Lamb, NS as to cut",dravya.lamb,M1,lamb,0,
437,"Lamb, chop",dravya.lamb,M1,lamb,0,
438,"Lamb, ground",dravya.lamb,M1,lamb,0,
444,"Venison, NFS",dravya.venison,M1,venison,0,
445,"Venison, steak",dravya.venison,M1,venison,0,
460,"Chicken, NS as to part and cooking method, NS as to skin eaten",dravya.broiler-chicken,M1,chicken,0,
461,"Chicken, NS as to part and cooking method, skin eaten",dravya.broiler-chicken,M1,chicken,0,
462,"Chicken, NS as to part and cooking method, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
463,"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",dravya.broiler-chicken,M1,chicken,0,
464,"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",dravya.broiler-chicken,M1,chicken,0,
465,"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
466,"Chicken, NS as to part, rotisserie, NS as to skin eaten",dravya.broiler-chicken,M1,chicken,0,
467,"Chicken, NS as to part, rotisserie, skin eaten",dravya.broiler-chicken,M1,chicken,0,
468,"Chicken, NS as to part, rotisserie, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
469,"Chicken, NS as to part, stewed, NS as to skin eaten",dravya.broiler-chicken,M1,chicken,0,
470,"Chicken, NS as to part, stewed, skin eaten",dravya.broiler-chicken,M1,chicken,0,
471,"Chicken, NS as to part, stewed, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
472,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",dravya.broiler-chicken,M1,chicken,0,
473,"Chicken, NS as to part, grilled without sauce, skin eaten",dravya.broiler-chicken,M1,chicken,0,
474,"Chicken, NS as to part, grilled without sauce, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
475,"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",dravya.broiler-chicken,M1,chicken,0,
476,"Chicken, NS as to part, grilled with sauce, skin eaten",dravya.broiler-chicken,M1,chicken,0,
477,"Chicken, NS as to part, grilled with sauce, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
478,"Chicken, NS as to part, sauteed, skin eaten",dravya.broiler-chicken,M1,chicken,0,
479,"Chicken, NS as to part, sauteed, skin not eaten",dravya.broiler-chicken,M1,chicken,0,
